City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,19.33,96,24,1.31,ZA,04/02/2023
1,rikitea,-23.1203,-134.9692,26.8,81,24,7.17,PF,04/02/2023
2,hobart,-42.8794,147.3294,12.81,81,20,4.12,AU,04/02/2023
3,saskylakh,71.9167,114.0833,-8.34,96,100,1.81,RU,04/02/2023
4,jamestown,42.097,-79.2353,7.51,32,0,1.54,US,04/02/2023
5,faanui,-16.4833,-151.75,28.21,71,100,3.45,PF,04/02/2023
6,vaini,-21.2,-175.2,28.09,69,20,5.14,TO,04/02/2023
7,leshukonskoye,64.8989,45.7622,-12.38,98,76,1.85,RU,04/02/2023
8,punta arenas,-53.15,-70.9167,16.06,36,75,7.2,CL,04/02/2023
9,tasiilaq,65.6145,-37.6368,-1.91,91,100,2.71,GL,04/02/2023
10,brigantine,39.4101,-74.3646,13.35,31,0,5.66,US,04/02/2023
11,yumen,40.2833,97.2,0.98,51,36,2.42,CN,04/02/2023
12,nouadhibou,20.931,-17.0347,22.99,64,2,4.12,MR,04/02/2023
13,rio gallegos,-51.6226,-69.2181,14.03,44,0,5.66,AR,04/02/2023
14,mount isa,-20.7333,139.5,15.87,63,64,0.0,AU,04/02/2023
15,charlottetown,46.2352,-63.1267,2.29,36,0,9.77,CA,04/02/2023
16,mataura,-46.1927,168.8643,11.38,70,81,1.09,NZ,04/02/2023
17,natal,-5.795,-35.2094,27.36,78,0,3.6,BR,04/02/2023
18,cherskiy,68.75,161.3,-29.63,95,31,1.98,RU,04/02/2023
19,kaitangata,-46.2817,169.8464,10.73,70,58,2.61,NZ,04/02/2023
20,albany,42.6001,-73.9662,6.62,25,9,1.79,US,04/02/2023
21,mahebourg,-20.4081,57.7,26.25,89,75,3.6,MU,04/02/2023
22,padang,-0.9492,100.3543,24.51,87,100,1.18,ID,04/02/2023
23,hilo,19.7297,-155.09,25.16,90,100,2.57,US,04/02/2023
24,mar del plata,-38.0023,-57.5575,23.01,74,0,3.6,AR,04/02/2023
25,dunedin,-45.8742,170.5036,15.6,59,8,1.34,NZ,04/02/2023
26,scarborough,54.2797,-0.4044,2.17,85,6,3.15,GB,04/02/2023
27,homestead,25.4687,-80.4776,29.45,70,40,3.6,US,04/02/2023
28,yurimaguas,-5.9,-76.0833,29.09,65,40,2.06,PE,04/02/2023
29,port blair,11.6667,92.75,25.71,76,100,2.7,IN,04/02/2023
30,garowe,8.4054,48.4845,26.14,67,33,5.34,SO,04/02/2023
31,tuktoyaktuk,69.4541,-133.0374,-18.0,78,0,5.66,CA,04/02/2023
32,hohhot,40.8106,111.6522,1.16,93,40,1.0,CN,04/02/2023
33,saravan,39.7196,45.6483,-0.32,70,28,2.26,AM,04/02/2023
34,paarl,-33.7338,18.9752,18.89,95,30,0.27,ZA,04/02/2023
35,miri,4.4148,114.0089,24.08,94,40,0.0,MY,04/02/2023
36,kapaa,22.0752,-159.319,27.49,76,0,3.6,US,04/02/2023
37,hithadhoo,-0.6,73.0833,27.78,71,14,2.84,MV,04/02/2023
38,lata,40.1629,-8.3327,12.73,77,99,0.81,PT,04/02/2023
39,gisborne,-38.6533,178.0042,18.53,69,46,2.99,NZ,04/02/2023
40,broome,42.2506,-75.833,4.81,35,0,4.63,US,04/02/2023
41,atuona,-9.8,-139.0333,27.26,76,42,6.67,PF,04/02/2023
42,mitsamiouli,-11.3847,43.2844,27.37,78,100,2.73,KM,04/02/2023
43,muros,42.7762,-9.0603,11.58,81,81,3.29,ES,04/02/2023
44,ilulissat,69.2167,-51.1,-13.99,85,99,2.06,GL,04/02/2023
45,ust-kuyga,70.0167,135.6,-16.65,95,100,4.39,RU,04/02/2023
46,bluff,-46.6,168.3333,11.56,71,94,3.81,NZ,04/02/2023
47,hasaki,35.7333,140.8333,10.12,63,100,9.57,JP,04/02/2023
48,marsa matruh,31.3525,27.2453,20.11,24,0,4.63,EG,04/02/2023
49,kerema,-7.9631,145.7785,25.11,89,100,1.07,PG,04/02/2023
